OBJECTNUMMER,ABSREL,Stemdistrict,Stemlocatie,Opgeroepenen,Geldig,Blanco,Ongeldig,Opkomstpercentage,Grootste_partij,Grootste_aantal,Grootste_percentage,Tweede_partij,Tweede_aantal,Tweede_percentage,Verschil_aantal,Verschil_percentage,GroenLinks,D66,PvdA,VVD,Partij_voor_de_Dieren,Forum_voor_Democratie,DENK,SP,PVV,CDA,ChristenUnie,50PLUS_Partij_vd_Ouderen,Code_Oranje,NIDA,Ouderenpartij_NH,_GroenLinks,_D66,_PvdA,_VVD,_Partij_voor_de_Dieren,_Forum_voor_Democratie,_DENK,_SP,_PVV,_CDA,_ChristenUnie,_50PLUS_Partij_vd_Ouderen,_Code_Oranje,_NIDA,_Ouderenpartij_NH,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
1,ABS,101,De Kernschool,2153,773,1,6,36.2,Forum voor Democratie,113,0,PvdA,97,0,16,0,93,27,97,29,44,113,95,76,72,33,31,20,8,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,839667","52,434218",,
2,REL,101,De Kernschool,2153,773,1,6,36.2,Forum voor Democratie,0,14.6,PvdA,0,12.5,16,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.5,12.5,3.8,5.7,14.6,12.3,9.8,9.3,4.3,4,2.6,1,1.6,3,"4,839667","52,434218",,
3,ABS,102,Handboog Schutters Czaar Peter,2256,939,3,4,41.9,Forum voor Democratie,205,0,DENK,118,0,87,0,109,44,100,54,49,205,118,63,81,27,25,35,6,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,838457","52,429809",,
4,REL,102,Handboog Schutters Czaar Peter,2256,939,3,4,41.9,Forum voor Democratie,0,21.8,DENK,0,12.6,87,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,4.7,10.6,5.8,5.2,21.8,12.6,6.7,8.6,2.9,2.7,3.7,0.6,0.5,1.9,"4,838457","52,429809",,
5,ABS,103,Wijkgebouw De Poelenburcht,2498,919,1,6,37.1,DENK,381,0,PvdA,75,0,306,0,63,33,75,37,33,74,381,67,63,24,19,19,5,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,854884","52,435644",,
6,REL,103,Wijkgebouw De Poelenburcht,2498,919,1,6,37.1,DENK,0,41.5,PvdA,0,8.2,306,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,3.6,8.2,4,3.6,8.1,41.5,7.3,6.9,2.6,2.1,2.1,0.5,1.1,1.7,"4,854884","52,435644",,
7,ABS,104,Stembureau Oogheelkundig Medisch Centrum,0,118,1,0,0,GroenLinks,27,0,Forum voor Democratie,23,0,4,0,27,10,8,10,11,23,4,5,12,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,83115","52,442654",,
8,REL,104,Stembureau Oogheelkundig Medisch Centrum,0,118,1,0,0,GroenLinks,0,22.9,Forum voor Democratie,0,19.5,4,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,8.5,6.8,8.5,9.3,19.5,3.4,4.2,10.2,0.8,2.5,0.8,0.8,0,1.7,"4,83115","52,442654",,
9,ABS,105,Zaans Natuur en Milieu Centrum,1699,607,0,8,36.2,DENK,187,0,PvdA,62,0,125,0,50,21,62,35,34,57,187,35,47,25,18,19,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,846632","52,440622",,
10,REL,105,Zaans Natuur en Milieu Centrum,1699,607,0,8,36.2,DENK,0,30.8,PvdA,0,10.2,125,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,3.5,10.2,5.8,5.6,9.4,30.8,5.8,7.7,4.1,3,3.1,1.2,0.3,1.3,"4,846632","52,440622",,
11,ABS,106,JerehSalem,1756,697,3,9,40.4,DENK,167,0,Forum voor Democratie,84,0,83,0,58,20,66,34,34,84,167,61,42,44,34,34,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,849498","52,443233",,
12,REL,106,JerehSalem,1756,697,3,9,40.4,DENK,0,24,Forum voor Democratie,0,12.1,83,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,2.9,9.5,4.9,4.9,12.1,24,8.8,6,6.3,4.9,4.9,0.7,0.6,1.4,"4,849498","52,443233",,
13,ABS,107,School De Windroos. INGANG PINASSTRAAT,1682,669,0,4,40,DENK,169,0,PvdA,82,0,87,0,59,27,82,38,25,69,169,47,56,32,26,20,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,844179","52,448798",,
14,REL,107,School De Windroos. INGANG PINASSTRAAT,1682,669,0,4,40,DENK,0,25.3,PvdA,0,12.3,87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,4,12.3,5.7,3.7,10.3,25.3,7,8.4,4.8,3.9,3,0.4,0.4,1.9,"4,844179","52,448798",,
15,ABS,108,Evean Oostergouw. HOOFDINGANG,1812,957,5,7,53.5,Forum voor Democratie,178,0,VVD,108,0,70,0,79,77,99,108,40,178,35,63,73,70,45,39,15,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,836303","52,454047",,
16,REL,108,Evean Oostergouw. HOOFDINGANG,1812,957,5,7,53.5,Forum voor Democratie,0,18.6,VVD,0,11.3,70,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,8,10.3,11.3,4.2,18.6,3.7,6.6,7.6,7.3,4.7,4.1,1.6,0.2,3.6,"4,836303","52,454047",,
17,ABS,109,Evean De Meerpaal. INGANG TJOTTERLAAN,1587,880,5,7,56.2,VVD,126,0,Forum voor Democratie,118,0,8,0,89,76,97,126,45,118,68,50,65,55,39,30,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,838917","52,44615",,
18,REL,109,Evean De Meerpaal. INGANG TJOTTERLAAN,1587,880,5,7,56.2,VVD,0,14.3,Forum voor Democratie,0,13.4,8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,8.6,11,14.3,5.1,13.4,7.7,5.7,7.4,6.3,4.4,3.4,0.3,0.1,2,"4,838917","52,44615",,
19,ABS,110,Evean Het Erasmushuis,2059,935,3,6,45.8,PvdA,125,0,Forum voor Democratie,114,0,11,0,86,59,125,93,57,114,82,80,69,51,37,40,11,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,841301","52,440023",,
20,REL,110,Evean Het Erasmushuis,2059,935,3,6,45.8,PvdA,0,13.4,Forum voor Democratie,0,12.2,11,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,6.3,13.4,9.9,6.1,12.2,8.8,8.6,7.4,5.5,4,4.3,1.2,0.3,3,"4,841301","52,440023",,
21,ABS,111,De Paaskerk,1310,611,3,4,47.2,Forum voor Democratie,146,0,PVV,73,0,73,0,69,40,69,38,53,146,16,58,73,5,16,12,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,83633","52,436512",,
22,REL,111,De Paaskerk,1310,611,3,4,47.2,Forum voor Democratie,0,23.9,PVV,0,11.9,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,6.5,11.3,6.2,8.7,23.9,2.6,9.5,11.9,0.8,2.6,2,0.7,0.5,1.5,"4,83633","52,436512",,
23,ABS,112,Dependance CBS Tamarinde,1239,644,6,1,52.5,Forum voor Democratie,133,0,GroenLinks,117,0,16,0,117,43,56,51,43,133,13,54,49,23,11,26,13,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,833283","52,435573",,
